account,followers,following,followratio,toots
@malwaretech@infosec.exchange,54920,87,631.26,1063
@jayrosen_nyu@mastodon.social,42314,133,318.15,293
@rozenberg@journa.host,5832,19,306.94,215
@feditips@mstdn.social,171660,579,296.47,3200
@taylorlorenz@mastodon.social,50967,181,281.58,487
@EC_DIGIT@social.network.europa.eu,2901,11,263.72,270
@codinghorror@infosec.exchange,5382,22,244.63,613
@mfowler@toot.thoughtworks.com,17838,106,168.28,285
@RichardJMurphy@mas.to,6540,39,167.69,326
@gergelyorosz@mastodon.online,13329,83,160.59,139
@eleventy@fosstodon.org,2282,16,142.62,1074
@onlmaps@mastodon.social,1832,15,122.13,5138
@adambienkov@mastodon.green,5161,44,117.29,154
@EC_OSPO@social.network.europa.eu,3905,34,114.85,217
@b0rk@social.jvns.ca,24826,232,107,365
@chrischirp@fediscience.org,20191,201,100.45,601
@gruber@mastodon.social,28997,382,75.9,950
@drewharwell@mastodon.social,61926,831,74.51,691
@DrLindseyFitzharris@mastodon.world,8671,117,74.11,547
@kev@fosstodon.org,22870,313,73.06,2323
@GeorgePeretzKC@eupolicy.social,4320,63,68.57,375
@nisreen@mastodon.online,9428,146,64.57,451
@w3c@w3c.social,8043,130,61.86,284
@ct_bergstrom@fediscience.org,34590,617,56.06,1529
@davidfowl@hachyderm.io,6353,118,53.83,249
@carnage4life@mas.to,8307,201,41.32,757
@davew@mastodon.social,6340,172,36.86,2021
@anildash@me.dm,27612,822,33.59,1585
@abebab@scholar.social,4326,133,32.52,307
@danneidle@econtwitter.net,1798,58,31,563
@GaelVaroquaux@mastodon.social,2631,88,29.89,106
@Nick_Craver@infosec.exchange,4127,143,28.86,795
@timbray@hachyderm.io,14176,500,28.35,1399
@hadleybeeman@w3c.social,1778,63,28.22,547
@jessitron@hachyderm.io,4486,170,26.38,311
@gidmk@med-mastodon.com,6044,240,25.18,156
@ddoomen@mastodon.social,291,12,24.25,206
@jamesshore@mastodon.online,1372,58,23.65,445
@leo@twit.social,24476,1097,22.31,1282
@rem@front-end.social,2535,117,21.66,476
@joshuatopolsky@mastodon.online,2823,131,21.54,345
@cubicgarden@mas.to,1577,74,21.31,2590
@atomicpoet@mastodon.social,14746,694,21.24,20776
@rauschma@fosstodon.org,3417,169,20.21,1668
@klillington@mastodon.ie,5067,251,20.18,1647
@shanselman@hachyderm.io,32773,1632,20.08,1641
@gcluley@mastodon.green,11348,614,18.48,505
@rachelcoldicutt@assemblag.es,1524,84,18.14,401
@brentsimmons@indieweb.social,4036,238,16.95,183
@davetroy@toad.social,14952,895,16.7,2106
@ChrisPirillo@mastodon.social,6504,396,16.42,2698
@glynmoody@mastodon.social,4225,259,16.31,19146
@SecurityWriter@infosec.exchange,2491,153,16.28,568
@emilybell@mastodon.social,3910,263,14.86,316
@jeffjarvis@mastodon.social,30232,2034,14.86,5437
@kenshirriff@oldbytes.space,5028,355,14.16,204
@damianedwards@hachyderm.io,2738,198,13.82,267
@stopfundinghate@mastodon.social,4867,355,13.7,173
@blaine@mastodon.social,5532,411,13.45,1290
@MattHodges@mastodon.social,3210,241,13.31,1801
@APHClarkson@mastodon.social,2910,232,12.54,228
@tastapod@mastodon.social,2546,210,12.12,175
@Garwboy@ohai.social,1575,132,11.93,235
@SusanMichie@fediscience.org,3274,279,11.73,960
@mikegalsworthy@mas.to,29401,2727,10.78,1095
@foosel@chaos.social,4066,388,10.47,2741
@zachleat@fediverse.zachleat.com,5028,485,10.36,2471
@katebevan@mastodon.social,2368,254,9.32,748
@Amy_Hupe@social.design.systems,985,106,9.29,249
@laura@mastodon.laurakalbag.com,4422,491,9,1111
@ChrisMayLA6@zirk.us,892,102,8.74,3062
@13sarahmurphy@mastodon.green,3150,363,8.67,377
@Tibor@mastodon.social,4835,561,8.61,1812
@cgseife@sciencemastodon.com,2831,332,8.52,949
@blowdart@mastodon.social,2746,335,8.19,1355
@andy@bell.bz,2969,365,8.13,2386
@jerry@infosec.exchange,25616,3326,7.7,17403
@simon@fedi.simonwillison.net,14944,1972,7.57,2752
@cyberlyra@mastodon.social,1385,185,7.48,264
@dell@journa.host,6685,923,7.24,560
@GeePawHill@mastodon.social,3075,425,7.23,1745
@TheConversationUS@newsie.social,10901,1606,6.78,903
@ftrain@tilde.zone,3533,531,6.65,559
@mttaggart@fosstodon.org,3135,485,6.46,3921
@jasongorman@mastodon.cloud,1061,167,6.35,1344
@profcarroll@federate.social,13767,2170,6.34,1341
@monkchips@mastodon.social,1626,263,6.18,114
@mxbck@front-end.social,1395,228,6.11,348
@Drand@techhub.social,1564,262,5.96,348
@sesivany@floss.social,1428,246,5.8,1486
@happykhan@mstdn.science,1294,224,5.77,574
@TheVinylConstituency@mastodon.scot,331,60,5.51,347
@michelle@front-end.social,991,180,5.5,372
@LauraThompson@mastodon.green,565,103,5.48,126
@openrightsgroup@social.openrightsgroup.org,6284,1157,5.43,314
@maartenballiauw@mastodon.online,1547,285,5.42,612
@OkieSpaceQueen@scicomm.xyz,1503,282,5.32,237
@kevlin@mastodon.social,1033,196,5.27,337
@timhutton@mathstodon.xyz,2254,439,5.13,338
@chrisjhorn@mastodon.ie,546,107,5.1,215
@cogdog@social.fossdle.org,495,98,5.05,447
@Downes@mastodon.social,824,163,5.05,4036
@holly_cummins@hachyderm.io,1080,214,5.04,270
@mattgodbolt@hachyderm.io,2781,557,4.99,415
@hopkinsdavid@mastodon.world,249,51,4.88,248
@aral@mastodon.ar.al,32596,6714,4.85,23198
@tchambers@indieweb.social,11560,2402,4.81,20474
@harold@mastodon.social,758,159,4.76,1003
@coachtony@me.dm,2102,445,4.72,570
@expede@octodon.social,481,103,4.66,106
@rdanielkelemen@eupolicy.social,1648,358,4.6,179
@Fascinatorfun@mastodon.green,6432,1434,4.48,3440
@vivianho@journa.host,932,208,4.48,122
@mattpotter@c.im,1331,298,4.46,847
@mike@robot.rodeo,8413,1925,4.37,1699
@ricmac@mastodon.social,1305,306,4.26,566
@jon@gruene.social,9580,2265,4.22,3362
@adamsdesk@fosstodon.org,316,75,4.21,1895
@Hhesterm@mastodon.online,1520,364,4.17,317
@DocOnDev@mstdn.social,530,129,4.1,247
@martin@openedtech.social,781,191,4.08,227
@csharpfritz@mas.to,982,245,4,204
@jongalloway@mastodon.social,1424,376,3.78,132
@mikeolson@mastodon.social,605,160,3.78,468
@Martindotnet@hachyderm.io,731,196,3.72,915
@SeanJones@mastodon.social,3788,1028,3.68,942
@jarango@mastodon.social,588,162,3.62,534
@charlesarthur@newsie.social,1059,295,3.58,408
