Account ,followers,following,followratio,toots
@Mastodon@mastodon.social,743916,10,74391.6,230
@EU_Commission@social.network.europa.eu,72376,2,36188,1426
@ivory@tapbots.social,76597,4,19149.25,3203
@profbriancox@universeodon.com,36686,3,12228.66,11
@internetarchive@mastodon.archive.org,27906,3,9302,121
@rbreich@masto.ai,210312,26,8088.92,981
@IceCubesApp@mastodon.online,5893,1,5893,125
@EC_Commissioner_Breton@social.network.europa.eu,4868,1,4868,54
@goodlawproject@mastodon.world,13893,4,3473.25,731
@mehdihasan@journa.host,44916,17,2642.11,42
@mariapopova@indieweb.social,9807,4,2451.75,1470
